question,answer,category,적용대상,출처
"정병권 101,301 단어 외우기가 힘든데 어떻게 해야 하나요?","첫 회독은 50% 암기를 목표로 하고, 여러 번 회독하면서 완성도를 높여가시면 됩니다.",영어,공통,line235
데일리 테스트에서 단어를 10개 정도 틀리는데 괜찮을까요?,틀린 단어는 따로 표시해 보충 암기하시고 꾸준히 반복하시면 괜찮습니다.,영어,공통,line236
영단어 외우는 데 시간이 너무 오래 걸리는데 괜찮을까요?,"단어는 중요하니 꾸준히 시간을 투자하시되, 빠른 스키밍 복습으로 기억을 자주 환기해주세요.",영어,공통,line237
영어 독해·논리 강의는 어떤 순서로 듣는 게 좋을까요?,"처음엔 노베이스 강의로 시작해 개념을 잡고, 이후 레벨 1 강의로 넘어가시면 좋습니다.",영어,공통,line238
밴드 데일리 테스트는 꼭 해야 하나요?,데일리 테스트는 현재 단어 암기 상태를 확인하는 데 효과적이니 꾸준히 병행해주세요.,영어,공통,line239
영어 문법 문제는 어떻게 풀어야 하나요?,"문제를 풀면서 틀린 부분은 바로 이유를 정리하고, 유사 문제를 다시 풀어보며 감각을 익히세요.",영어,공통,line240
선형대수 강의를 끝냈는데 다변수로 넘어가도 될까요?,선형대수와 미적분 복습을 충분히 한 후 다변수로 넘어가시는 것이 좋습니다.,수학,이과,line241
인강 1시간 30분짜리 들으면 복습은 몇 시간 정도 해야 할까요?,보통 1:1 비율로 복습하는 것이 좋습니다. 경우에 따라 일주일 정도 복습에만 투자해도 괜찮습니다.,학습법,공통,line242
복습을 제대로 하고 있는지 잘 모르겠습니다.,노트정리와 회독을 반복하면서 개념을 빈 종이에 직접 써보는 연습을 해보세요. 공식과 그래프를 암기하는 것도 좋습니다.,학습법,이과,line243
선형대수 고유치 단원은 어떻게 공부해야 하나요?,강의를 다시 듣고 문제를 직접 풀면서 개념을 반복 확인하세요. 고유치는 중요하니 최소 2회 이상 복습이 필요합니다.,수학,이과,line244
노트정리는 꼭 해야 하나요?,"네, 노트정리는 개념을 정리하고 다시 보는 데 큰 도움이 되니 반드시 하시는 게 좋습니다.",학습법,공통,line245
미적분 복습은 어떻게 하는 게 좋을까요?,강의와 노트정리를 병행하면서 문제를 여러 번 풀어 개념을 확실히 익히세요.,수학,이과,line246
선형대수 필기노트를 받을 수 있을까요?,"학원에서 제공하는 필기노트가 있으니 참고하시되, 본인만의 노트정리를 병행하시는 것이 가장 좋습니다.",학습자료,이과,line247
모의고사 오답은 어떻게 해야 하나요?,"틀린 문제를 표시하고 다시 풀어본 뒤, 해설 강의를 확인하세요. 영어는 틀린 선지를 고른 이유와 정답 근거를 정리하세요.",시험준비,공통,line248
모의고사에서 성적이 잘 안 나왔습니다. 어떻게 해야 할까요?,"수학은 개념 회독과 노트정리를 반복하고, 영어는 독해와 논리 강의를 병행하며 오답노트를 만들어 보세요.",시험준비,공통,line249
위클리 문제는 꼭 풀어야 하나요?,위클리 문제는 복습 상태를 점검하는 데 유용하니 꼭 풀고 피드백을 받아보시길 권합니다.,시험준비,공통,line250
경희대는 토익 점수가 얼마나 필요할까요?,"경희대는 수학 90%, 토익 10% 비중입니다. 지금은 영어와 수학에 집중하시고 후반기에 토익 문제집으로 준비해도 700~800점 이상 가능합니다.",입시정보,공통,line251
편입 수학은 어느 정도까지 깊게 공부해야 하나요?,최상위권 대학이 아니라면 지나치게 깊게보다는 기본 개념과 공식을 충실히 익히는 것이 더 효과적입니다.,입시정보,이과,line252
수업 진도가 늦는 건 아닌가요?,현재 진도는 정상 속도입니다. 복습과 개념 정리에 집중하는 것이 더 중요합니다.,커리큘럼,이과,line253
다변수 강의는 언제부터 듣는 게 좋을까요?,정규 커리큘럼에 맞춰 5월부터 시작하시면 충분합니다.,커리큘럼,이과,line254
필기노트는 꼭 제출해야 하나요?,필기노트는 제출용이라기보다 본인 학습을 위해 반드시 정리하시는 게 좋습니다.,커리큘럼,공통,line255
공부 시간을 어떻게 늘려야 할까요?,공강이나 저녁 시간을 활용해 1시간만 더 투자해보세요. 작은 습관의 누적이 효과적입니다.,학습법,공통,line256
단어를 매일 못 보면 어떻게 하나요?,"인강은 몰아서 할 수 있지만 단어는 매일 반복이 중요하니, 5분이라도 스키밍 하시는 게 좋습니다.",학습법,공통,line257
학교 병행 중 공부를 어떻게 해야 하나요?,"수업 있는 날은 복습과 단어 위주로, 공강이나 주말에는 진도를 빼는 방식으로 시간 배분하세요.",학습법,공통,line258
오답노트는 어떻게 작성하는 게 좋을까요?,"틀린 파트, 틀린 이유, 정답 근거 순으로 간단히 정리하면 효과적입니다.",학습법,공통,line259
단어장은 어떤 걸 우선순위로 외워야 하나요?,"보카바이블로 시작해 기초를 다지고, 정병권 101·301 단어를 병행하세요.",학습자료,공통,line260
추가 문제 자료는 어디서 볼 수 있나요?,밴드에서 제공하는 위클리 문제와 데일리 테스트를 활용하세요.,학습자료,공통,line261
영어 단어 암기가 잘 안되는데 어떻게 하나요?,"첫 회독은 50% 암기를 목표로 하고, 꾸준히 반복하면서 익히세요.",영어,공통,line262
다변수미적분 공부가 어렵고 계산이 많이 틀리는데 어떻게 해야 하나요?,"계산 실수 줄이려면 노트 정리와 복습을 꾸준히 하고, 한 문제당 최대 20~30분 투자하면서 끝까지 풀어보세요.",수학,이과,line263
미적분과 선형대수 복습을 어떻게 병행하면 좋을까요?,진도 나가는 것도 중요하지만 미적분과 선형대수는 매일 복습 시간을 따로 확보해서 틀린 문제 위주로 다시 풀어보세요.,수학,이과,line264
수학 실력이 부족한데 어떻게 실력을 올릴 수 있을까요?,"어려운 문제는 30분~1시간 고민하면서 풀이 과정을 끝까지 따라가 보시고, 같은 문제를 여러 방식으로 풀어보는 연습을 해보세요.",수학,이과,line265
영어 진도가 느린데 어떻게 해야 할까요?,"영단어는 매일 꾸준히 외우시고, 인강을 통해 독해·논리·문법을 병행하세요. 문제 풀이도 반드시 포함해 주시기 바랍니다.",영어,공통,line266
영어 인강은 어떤 방식으로 챙기면 좋을까요?,"인강을 듣고 난 후에는 반드시 문제 풀이로 적용해보시고, 단어 암기는 매일 일정 분량을 정해 반복하세요.",영어,공통,line267
모의고사를 응시하지 못했는데 어떻게 보완하면 좋을까요?,"모의고사를 놓쳤다면 스스로 시간을 정해 실제 시험처럼 응시하고, 오답노트를 만들어 복습하세요.",시험준비,공통,line268
모의고사 성적이 잘 안 오를 때 어떻게 해야 하나요?,"틀린 파트를 정확히 기록하고, 오답노트를 통해 이유→정답 근거를 정리하세요. 복습을 반복하면서 정답률을 끌어올리면 됩니다.",시험준비,공통,line269
공부 시간을 늘리려면 어떻게 해야 할까요?,공강이나 주말을 활용해서 오전 시간을 집중적으로 사용하세요. 하루 최소 6:4 비율로 주요 과목과 복습을 배분해 보세요.,학습법,공통,line270
효율적으로 복습하는 방법이 있을까요?,"틀린 문제는 오답노트로 정리하고, 복습은 하루→3일→일주일 간격으로 반복하면 기억에 오래 남습니다.",학습법,공통,line271
가족행사나 컨디션 때문에 공부를 못 챙겼을 때 어떻게 회복하나요?,"못한 공부는 바로 다음날 보충 계획을 세우고, 최소 단어 암기나 인강 1강이라도 챙겨서 흐름이 끊기지 않도록 하세요.",학습법,공통,line272
6월 공부 계획은 어떻게 세우면 좋을까요?,"5월 복습 부족분을 보완하고, 6월에는 다변수 문제 풀이와 독해 논리 인강 레벨 3 진도를 포함해 계획하세요.",커리큘럼,공통,line273
방학 기간 공부는 어떻게 운영하면 좋을까요?,"방학에는 평일보다 시간을 늘려서 부족한 과목을 채우고, 수학·영어 모두 하루 6:4 비율로 배분해 학습하세요.",커리큘럼,공통,line274
영어 교재는 언제 교체하면 좋을까요?,독해·논리·문법 인강 교재를 90% 이상 마쳤다면 다음 단계 교재를 준비해서 진도를 이어가세요.,학습자료,공통,line275
오답노트는 어떻게 작성해야 효과적일까요?,"틀린 문제를 그대로 옮겨 적지 말고, 왜 틀렸는지 이유와 정답 근거를 함께 정리하세요.",학습자료,공통,line276
영어 단어를 얼마나 외워야 하나요?,"보카바이블을 우선 외우시고, 이후 파생어와 동의어는 상황에 맞게 추가하시면 됩니다. 반복 회독으로 꾸준히 기억을 유지하세요.",학습법,공통,line277
수학과 영어 시간 배분은 어떻게 해야 하나요?,"처음에는 6:4 또는 5:5로 시작하시고, 상황에 맞춰 조정하시면 좋습니다. 수학 진도에 따라 영어 비중을 조금 줄이셔도 됩니다.",FAQ,이과,line278
영어 문법 강의가 어렵게 느껴지는데 어떻게 공부해야 하나요?,"기본 개념부터 정리하시고, 문제를 풀며 부족한 부분을 채우시면 됩니다. 최소 2~3회 복습을 권장드립니다.",학습법,공통,line279
영어 인강을 듣는 도중 다른 선생님으로 바꿔도 되나요?,본인에게 맞는 강사 스타일을 찾는 것이 중요합니다. 필요하다면 다른 강사로 바꾸셔도 괜찮습니다.,FAQ,공통,line280
"선형대수, 다변수미적분은 언제부터 시작해야 하나요?","선형대수는 4월 말~5월 초에, 다변수미적분은 5월 중순 이후 시작하시면 좋습니다. 개강 시점에 맞추는 것이 효율적입니다.",수학,이과,line281
공부 슬럼프가 오면 어떻게 대처해야 하나요?,"하루 이틀 휴식을 취하시고, 루틴을 다시 정상화하시면 됩니다. 휴식 후 바로 회복에 집중하세요.",FAQ,공통,line282
영어 단어 암기는 어떻게 하면 좋나요?,"반복 회독을 통해 꾸준히 외우시고, 하루 최소 50% 이상은 복습으로 채우시길 권장드립니다.",학습법,공통,line283
모의고사는 어떻게 활용해야 하나요?,"현재 위치를 파악하고, 오답노트는 틀린 파트→이유→정답 근거 순으로 정리하세요. 시험 직전까지 복습 자료로 활용하시면 좋습니다.",시험준비,공통,line284
보카바이블과 김신근 단어장은 둘 다 봐야 하나요?,두 권을 병행하기보다는 보카바이블 한 권을 완독하시고 필요시 보충 자료로 활용하세요.,학습자료,공통,line285
"영어 독해와 문법, 단어의 비중은 어떻게 가져가야 하나요?","영어는 독해 50%, 단어 30%, 문법 20% 비중으로 공부하시면 균형 있게 학습할 수 있습니다.",학습법,공통,line286
수학과 영어 공부 시간 배분은 어떻게 하는 게 좋을까요?,"초기엔 수학:영어를 6:4 또는 5:5로 두고, 문법·문풀이 늘어날 때는 단어 1~2시간을 문법 시간으로 전환해 균형을 맞추시면 됩니다. 과목 비중은 주차별 진도 상황에 맞춰 유동적으로 조정하십시오.",FAQ,공통,line287
하루 계획을 다 못 지켰을 때는 어떻게 대처하면 좋을까요?,완벽주의로 진도만 미루기보다 ‘복습 20~30% + 당일 진도 70~80%’ 원칙으로 마무리하고 다음날 계획에 누락분을 흡수하세요. 진도는 느려 보이더라도 꾸준함이 성적을 만듭니다.,FAQ,공통,line288
슬럼프처럼 공허할 때 정상인가요?,"정상입니다. 초반에는 성적이 급등하지 않지만, 6~7월경 개념과 문제풀이가 결합되면서 상승 곡선이 가팔라지는 시기가 옵니다. 지금의 꾸준함을 유지하는 것이 핵심입니다.",FAQ,공통,line289
하루 쉬어도 될까요? Day off 기준이 궁금합니다.,2주에 한 번 정도는 휴식일을 두셔도 좋습니다. 다만 전면 중단보다는 저녁에 ‘데일리 테스트’만 가볍게 챙겨 루틴을 끊지 않는 것을 권합니다.,FAQ,공통,line290
공부 시간을 객관화하려면 무엇을 쓰면 좋을까요?,열품타 등 시간 추적 도구를 반드시 켜고 과목별로 기록하세요. 실제 투입 시간을 보정해야 다음 주차의 시간 배분을 정확히 설계할 수 있습니다.,FAQ,공통,line291
3월 모의고사는 어떻게 활용하나요?,"현재 위치 파악과 유형 파악이 목적입니다. 과목별 백분위와 영수 통합 백분위를 모두 확인하고, 틀린 문항은 오답노트·해설강의로 원인과 정답 근거를 반드시 기록하세요.",FAQ,공통,line292
수면을 줄여서 공부해도 될까요?,"권장하지 않습니다. 수면을 줄이면 다음날 집중력이 급감하고 장기적으로 학습 지속성이 무너집니다. 몸 상태가 우선이며, 병원·물리치료 일정이 있으면 그날 학습량을 조정하세요.",FAQ,공통,line293
미분 문제집에서 발상이 잘 떠오르지 않습니다. 어떻게 돌파할까요?,"빈 노트에 삼각함수 그래프·미분 공식 등을 교재 없이 한 번 써 본 뒤, 개념서를 처음부터 빠르게 재독하고 문제를 다시 보세요. ‘적용할 개념 가설 세우기→풀이’ 루틴이 붙습니다.",수학,이과,line294
복습에 시간을 많이 쓰다 보니 진도가 느립니다. 균형을 어떻게 잡을까요?,"복습은 ‘개념 체크 + 대표문항’으로 최소화하고, 나머지는 진도로 보완하세요. 특히 미분을 끝내고 적분을 시작하면 미분 개념이 재사용되므로 지나친 역진입은 피하세요.",수학,이과,line295
적분의 면적·회전체 단원이 어렵습니다. 학습 포인트는 무엇인가요?,"원판법·원주법 선택 기준을 먼저 정리하고, 풀이 패턴을 유형별로 축적하세요. 다변수미적분에서 연계되므로, 공식 암기와 함께 ‘해석-적용-검산’ 3단계 체크를 습관화하세요.",수학,이과,line296
선형대수는 언제 진입하는 게 좋을까요?,미적분을 마무리한 뒤 4월 말~5월 초 선형대수로 진입하는 흐름이 적절합니다. 적분에서의 계산·해석 감을 유지한 채 선형대수 기초를 빠르게 올리세요.,수학,이과,line297
오답노트는 어떻게 작성해야 효과적일까요?,"‘틀린 파트→틀린 이유→정답 근거’를 한 줄씩 분리해 쓰고, 강사별 해설 풀이 차이도 옆에 메모하세요. 이후 비슷한 유형에서 선택 근거를 재사용할 수 있게 됩니다.",수학,공통,line298
주차 목표(예: 적분 3강/일)를 어떻게 잡을까요?,"강의 러닝타임+문제풀이 시간을 합산해 1강당 평균 필요 시간을 산정한 뒤, 하루 2~3강을 기준으로 계획하세요. 남는 시간은 필수예제→문제집 순으로 배치합니다.",수학,이과,line299
정적분 응용 단원(면적/회전체)은 어떤 순서로 복습할까요?,강의 수강→공식 정리→필수예제 전부→문제집 1/3→남은 2/3 순으로 끊어 진행하세요. 하루에 몰아치기보다 이틀 분할이 실수율을 낮춥니다.,수학,이과,line300
문법이 방대합니다. ‘정병권 101/201/301’은 어떻게 운용하나요?,"OT(101·201·301)를 먼저 보고, 101로 개념을 빠르게 회독한 뒤 201·301은 문풀과 병행하세요. 101로 약 80%를 커버하고, 나머지는 예시·기출로 보완해도 충분합니다.",영어,공통,line301
"문법 비중이 낮다는데, 그래도 해야 하나요?","편입 전체 문항에서 문법 비중은 낮지만, 문법을 챙겨두면 독해 정확도가 올라갑니다. ‘문법으로 독해 도와주기’라는 관점에서 101 중심으로 관리하세요.",영어,공통,line302
문법 강의가 압축적이라 빠진 개념이 많습니다. 어떻게 메울까요?,"101 회독 중 생긴 공백은 201·301 문풀에서 ‘예시-규칙’로 연결해 채우고, 개인 워드/패드에 틀리는 문형만 요약 리스트로 축적하세요. 과잉 확장은 금물입니다.",영어,공통,line303
단어 학습은 어떤 순서가 좋을까요?,"보카바이블 표제어로 1~2회독으로 코어를 만든 뒤, 상태를 보아 MVP 또는 정병권 단어장으로 확장하세요. 밴드의 데일리/테스트지를 병행하면 망각 주기를 잡을 수 있습니다.",영어,공통,line304
문법과 단어 중 어디에 시간을 더 둘까요?,단어에서 1~2시간을 덜어 문법 시간으로 전환하는 식으로 조정해 보세요. 독해·논리에서 점수화가 잘 되도록 ‘문법+단어+독해’로 균형을 맞추는 게 유리합니다.,영어,공통,line305
논리 파트는 언제 시작하나요?,문법 101을 마치면 논리(예: 이분법 훈련)에 진입해도 됩니다. 문법·논리 병행은 독해 정확도를 끌어올리는 데 효과적입니다.,영어,공통,line306
모의고사 성적은 어떻게 해석하나요?,"과목별 백분위, 영수 통합 백분위를 모두 보되, 절대점수만 보지 마세요. 오답은 ‘어느 파트에서 왜 틀렸는지→정답 근거’를 남겨 다음 회차의 체크리스트로 전환합니다.",시험준비,공통,line307
시험 직후 무엇을 먼저 해야 하나요?,"해설 강의를 보고 강사별 풀이 차이를 비교한 뒤, 내 풀이와의 간극을 메모하세요. 이후 비슷한 문제에서 같은 실수를 방지하는 ‘선택 제거 규칙’을 만들면 성과가 납니다.",시험준비,공통,line308
주말·평일에 공부 피로가 누적됩니다. 운영 팁이 있을까요?,"주말엔 ‘문법·단어 유지 + 수학 진도 강화’처럼 한 축을 가볍게 해 피로를 분산하세요. 2주 1회 리셋데이를 두고, 그날은 데일리 테스트만 챙깁니다.",시험준비,공통,line309
담당 선생님이 문과/이과로 배정되는 기준이 있나요?,합격 학교·학과·성적(백분위) 등을 보고 문과/이과 담당을 배정합니다. 학생의 희망 전공 트랙에 맞춘 배정입니다.,입시정보,공통,line310
이과 영어 원점수 70점대는 어느 정도인가요?,초반 기준으로도 높은 편입니다. 현재 페이스를 유지하며 수학을 끌어올리면 안정적인 합격권에 접근할 수 있습니다.,입시정보,이과,line311
수학은 어떤 순서로 진행하나요?,미분→적분→선형대수→다변수미적분 순을 권합니다. 미적에서 다진 해석·계산력이 이후 단원에 그대로 이식됩니다.,커리큘럼,이과,line312
영어는 어떤 순서로 진행하나요?,문법 101(개념)→201·301(문풀)→독해·논리 순으로 가세요. 문법이 독해의 바탕이 되도록 초반에 101을 탄탄히 합니다.,커리큘럼,공통,line313
4월 학습 목표를 어떻게 세우면 좋을까요?,"수학은 적분 완강 후 선형대수 진입을 목표로 하고, 영어는 문법 101 완강 + 201/301 1회독을 설정하세요. 단어는 하루 고정 슬롯을 확보합니다.",커리큘럼,공통,line314
문법을 빨리 끝내고 싶습니다. 주차 운영 팁이 있나요?,"하루 3~4강 속도로 1회전을 돌리되, 다음 주에 201/301 문풀로 복습을 겸하세요. 그 사이 단어·수학 시간을 침식하지 않도록 상한선을 정합니다.",커리큘럼,공통,line315
병원·물리치료 등 일정이 있을 때 커리큘럼은요?,"그날은 과감히 학습량을 줄이고, 데일리(단어·간단 문풀)만 유지하세요. 루틴을 끊지 않는 것이 장기전에서 더 중요합니다.",커리큘럼,공통,line316
문법 101만으로 충분할까요?,"101로 약 80% 커버가 가능하며, 남은 20%는 201·301 문풀과 기출에서 보완하세요. 문법에 과몰입하기보다 독해·논리 비중을 유지하는 것이 점수 효율이 좋습니다.",학습법,공통,line317
문법이 너무 스트레스일 때는요?,완강으로 1회전을 끝내고 문풀·논리로 시야를 넓히세요. 문법은 ‘적용되는 문형’ 위주로 요약해 부담을 줄입니다.,학습법,공통,line318
단어는 얼마나 외워야 하나요?,초기엔 데일리 테스트를 기준으로 매일 고정 시간을 확보하세요. 보카바이블 회독을 끝내면 범위를 넓혀 재순환합니다.,학습법,공통,line319
강의 배속과 당일 복습은 어떻게 병행하나요?,"배속으로 강의 러닝타임을 단축하되, 필수예제와 문제집으로 ‘당일 복습’을 반드시 걸어 지식이 휘발되지 않게 하세요.",학습법,공통,line320
진도와 복습 중 무엇이 더 중요합니까?,"둘 다 중요하지만, 초반에는 진도 우선으로 박자감(문풀 루틴)을 만들고 복습은 선택과 집중으로 최소화하세요.",학습법,공통,line321
틀린 선지를 고른 이유까지 적으라고 하시던데 왜 필요한가요?,정답 근거뿐 아니라 오답 선택 근거를 적어야 ‘같은 함정’에 다시 걸리지 않습니다. 이후 회독에서 가장 큰 시간 절감 효과를 줍니다.,학습법,공통,line322
데일리/위클리 테스트는 어떻게 쓰면 좋나요?,"데일리는 단어·문법 유지, 위클리는 수학 복습과 실전 감각 점검용으로 주말에 배치하세요. 채점 후 오답 항목을 바로 다음 주 계획에 반영합니다.",학습자료,공통,line323
선형대수 필기노트는 어떤 용도로 쓰나요?,"선행 감 잡기용 레퍼런스로 가볍게 훑고, 본 학습은 강의-문풀에 두세요. 과도한 필기 이입은 실제 점수와 직결되지 않습니다.",학습자료,이과,line324
하루 목표량이 과해 보일 때는 어떻게 해야 할까요?,"과목별 ‘상한선(예: 문법 3강, 수학 2~3강)’을 정하고 넘치면 다음날로 미룹니다. 지치지 않는 일정이 장기적으로 더 빠릅니다.",FAQ,공통,line325
문법을 다 듣기 전에 독해·논리로 넘어가도 될까요?,101을 마쳤다면 가능합니다. 논리(이분법)부터 병행하면 독해 정확도가 빨리 올라갑니다.,FAQ,공통,line326
문법 암기를 빠르게 올리는 요령이 있을까요?,‘예외·혼동 문형’만 모은 1페이지 요약을 만들어 아침·저녁으로 회독하세요. 회독 빈도를 높여 망각을 줄이는 게 핵심입니다.,학습법,공통,line327
단어 테스트 프로그램 종료 후에는 무엇을 쓰면 좋나요?,밴드에서 제공하는 단어 테스트지로 루틴을 이어가세요. 테스트→오답집 구축→다음 주 재테스트의 주기를 유지합니다.,학습자료,공통,line328
문법·수학을 동시에 많이 듣는 날엔 단어를 줄여도 되나요?,가능합니다. 다만 최소 유지량(예: 1 챕터)은 매일 챙겨 단어 감각을 끊지 마세요.,FAQ,공통,line329
다변수미적분을 잘하려면 무엇을 준비해야 하나요?,적분의 해석 감(면적·회전체)과 좌표 변환(극좌표)을 확실히 다져 두세요. 이후 벡터·선형대수 개념이 연결됩니다.,수학,이과,line330
과목 전환이 잦아 집중이 흐트러집니다.,하루를 ‘한 축 강화 + 나머지 유지’로 설계하세요. 예: 수학 진도 강화일에는 영어는 단어·간단 문법만 유지합니다.,학습법,공통,line331
진도 체크는 어떻게 투명하게 하나요?,"‘강의 번호·진도·당일 복습·문제집 비율’을 표 형태로 기록하고, 주말에 실행률을 계산해 다음주 계획을 보정하세요.",학습법,공통,line332
문법이 너무 어렵게 느껴질 때 완강을 우선해도 되나요?,"예, 101 완강으로 골격을 세운 뒤, 201·301 문풀에서 이해를 보강하세요. 스트레스가 누적되면 독해·수학까지 영향을 줍니다.",FAQ,공통,line333
홍대 기출 끝나면 어떤 기출을 풀면 좋을까요?,외대 기출로 넘어가시면 좋습니다. 이후 d-70 시리즈와 병행하면 효과적입니다.,시험준비,공통,line334
어휘 401~502 단어가 잘 안 외워지는데 어떻게 해야 할까요?,"매일 2챕터씩 꾸준히 반복하시고, 모르는 단어는 오답노트로 따로 정리해두시는 것이 좋습니다.",영어,공통,line335
모의고사 점수는 어떻게 활용하는 게 좋을까요?,"성적표를 보고 틀린 파트를 분류한 뒤, 이유와 정답 근거를 정리하는 오답노트를 만드시면 됩니다.",시험준비,공통,line336
외대 기출은 시간이 부족한데 어떻게 대비해야 하나요?,"문풀할 때 이분법 적용으로 빠르게 지문 구조를 파악하시고, 제한시간 내 여러 번 연습해보세요.",시험준비,공통,line337
공부 시간이 하루 10시간 정도 나오는데 괜찮을까요?,꾸준히 유지하시는 건 좋습니다. 다만 피로가 누적되면 하루 정도 쉬어가셔도 됩니다.,FAQ,공통,line338
d-70 교재가 d-100보다 어렵나요?,"네, d-70은 더 까다롭습니다. 하지만 여러 번 복습하면 기출 풀이에도 큰 도움이 됩니다.",시험준비,공통,line339
어휘 학습은 기출 풀이와 어떻게 병행해야 하나요?,"기출 문제 풀 때 모르는 단어는 따로 정리하시고, 매일 정해둔 분량을 꾸준히 회독해주세요.",영어,공통,line340
추석 연휴 기간 공부는 어떻게 계획하는 게 좋을까요?,"연휴 동안 목표를 확실히 정하고 달성한 뒤, 남은 시간은 편하게 쉬는 것이 좋습니다.",학습법,공통,line341
자소서 첨삭은 얼마나 걸리나요?,초안 확인 후 첨삭까지 약 2주 정도 소요됩니다. 미리 작성해두시면 좋습니다.,입시정보,문과,line342
논리 파트는 어떻게 접근하는 게 좋을까요?,"이분법을 적용해 선택지를 나누고, 근거를 확실히 확인하면서 풀어보세요.",영어,공통,line343
D-100 교재는 어떻게 활용해야 하나요?,"도착하면 기출과 병행해서 1회는 꼭 풀어보시고, 여유가 있으면 하루에 기출 1개 + D시리즈 1개 조합으로 풀어주세요.",FAQ,공통,line344
기출 문제는 몇 년치 풀어야 효과적일까요?,"최근 2~3년치부터 시작해서 주요 학교 위주로 풀고, 오답 정리까지 꼼꼼히 챙겨주세요.",FAQ,공통,line345
단어 암기는 어떤 순서로 하는 게 좋을까요?,"101~301 단어는 복습 위주로 가볍게 보고, 401~502를 집중적으로 반복해 외워주세요.",FAQ,공통,line346
매일 공부 시간은 몇 시간 정도 확보해야 하나요?,"방학 기간에는 최소 10시간 이상 확보해주시고, 피로 누적을 방지하려면 2시간마다 10분 정도 휴식을 챙겨주세요.",FAQ,공통,line347
오답노트는 어떻게 작성하면 좋을까요?,"틀린 파트를 기록하고, 틀린 이유와 정답 근거를 단계별로 정리해두시면 좋습니다.",FAQ,공통,line348
장문 독해를 더 빠르고 정확하게 풀려면 어떻게 해야 하나요?,"이분법 독해법을 적용해 글 구조를 먼저 파악하고, 근거를 명확히 하여 정답을 선택하는 연습을 꾸준히 하세요.",영어,공통,line349
영어 문법은 어떤 식으로 복습해야 하나요?,"202, 302 문법까지 학습한 내용을 바탕으로 d시리즈와 기출에서 나오는 문법 문제를 따로 정리해 두세요.",영어,공통,line350
독해 복습을 효율적으로 하는 방법은 무엇인가요?,"풀었던 문제에서 지문 해석과 정답 근거를 다시 확인하고, 오답이 발생한 부분은 따로 표시해서 반복 복습해주세요.",영어,공통,line351
어휘 복습은 어떻게 진행하는 게 좋을까요?,"퀴즐렛이나 단어 테스트를 활용해 101~301 단어는 유지하고, 401~502는 집중 암기해주시면 됩니다.",영어,공통,line352
모의고사는 어떻게 활용해야 하나요?,"반드시 사전 접수 후 응시하시고, 시험 후에는 오답 분석을 통해 부족한 파트를 바로 보완하세요.",시험준비,공통,line353
기출은 어떤 순서로 풀면 좋을까요?,"건대, 홍대, 외대 순으로 주요 대학부터 시작하고 난도가 높은 학교는 후반부에 챙겨주세요.",시험준비,공통,line354
시간 관리가 어렵습니다. 기출 풀 때 어떻게 해야 하나요?,"실제 시험처럼 시간을 재고 풀며, 어려운 문제는 표시 후 뒤로 넘기는 전략을 연습하세요.",시험준비,공통,line355
매일 루틴이 비슷해 힘든데 어떻게 유지할까요?,"루틴을 크게 바꾸지 말고, 단어 복습이나 기출 순서를 가볍게 바꿔 변화를 주세요.",학습법,공통,line356
슬럼프가 올 때 어떻게 해야 하나요?,"짧게는 하루, 길게는 이틀 정도 계획된 가벼운 복습만 하면서 쉬고, 이후에는 기존 루틴으로 빠르게 복귀하세요.",학습법,공통,line357
독해에서 시간을 줄이는 요령이 있을까요?,첫 문단에서 주제를 잡고 선택지를 통해 답 근거를 찾아 빠르게 소거하는 연습을 반복하세요.,학습법,공통,line358
D시리즈는 어떻게 활용해야 하나요?,한 바퀴 풀고 난 뒤에는 오답과 틀린 단어를 따로 정리해 복습하면서 기출과 번갈아 병행하세요.,커리큘럼,공통,line359
301 과정 복습은 언제 하는 게 좋을까요?,"401 과정을 마친 뒤 기출을 일부 풀어보고, 이후에 301을 빠르게 복습한 후 다시 기출로 이어가세요.",커리큘럼,공통,line360
기출과 d시리즈를 같이 풀어도 괜찮을까요?,"네, 하루에 기출 1개 + D시리즈 1개 조합으로 병행하면 효과적입니다.",커리큘럼,공통,line361
퀴즐렛은 어떻게 활용하면 좋나요?,단어 암기뿐 아니라 복습용으로 카드 게임처럼 가볍게 반복해 활용해 주세요.,학습자료,공통,line362
어휘 교재는 전부 다 외워야 하나요?,"전부 외우는 게 이상적이지만, 우선 401~502에 집중하고 101~301은 복습 위주로 관리하세요.",학습자료,공통,line363
오답 단어장은 어떻게 만들까요?,기출과 d시리즈에서 틀린 단어를 따로 모아 반복 확인하는 방식으로 정리하세요.,학습자료,공통,line364
편입 지원 전략은 어떻게 세우면 좋을까요?,"주요 대학 위주로 우선순위를 정하고, 지원 가능한 학교를 점수대에 맞게 분배해서 준비하세요.",입시정보,공통,line365
자기소개서는 언제 준비해야 하나요?,"9월 이후 여유 있는 시점에 첨삭을 받으시면 충분하며, 우선은 공부에 집중하세요.",입시정보,공통,line366
초반 시간 배분은 어떻게 하는게 좋을까요?,"인강 3시간, 단어 2시간 기준으로 체크하고 나머지는 문제풀이에 투자해주세요.",학습법,공통,line367
방학 때는 어떤 점에 집중해야 할까요?,"방학 동안 단어 학습량을 늘리고, 매일 오답노트 복습을 병행해주세요.",학습법,문과,line368
